sch_id,stud_id,score
1224,1,5.876
1224,2,19.708
1224,3,20.349
1224,4,8.781
1224,5,17.898
1224,6,4.583
1224,7,-2.832
1224,8,0.523
1224,9,1.527
1224,10,21.521
1224,11,9.475
1224,12,16.057
1224,13,21.178
1224,14,20.178
1224,15,20.349
1224,16,20.508
1224,17,19.338
1224,18,4.145
1224,19,2.927
1224,20,16.405
1224,21,13.653
1224,22,6.558
1224,23,9.653
1224,24,3.154
1224,25,4.753
1224,26,21.721
1224,27,5.166
1224,28,6.399
1224,29,6.821
1224,30,9.255
1224,31,3.745
1224,32,0.858
1224,33,11.542
1224,34,13.255
1224,35,10.557
1224,36,0.868
1224,37,8.296
1224,38,-1.688
1224,39,2.059
1224,40,6.714
1224,41,0.122
1224,42,2.381
1224,43,16.336
1224,44,6.134
1224,45,23.584
1224,46,14.053
1224,47,2.183
1288,48,7.857
1288,49,10.171
1288,50,15.699
1288,51,22.919
1288,52,10.664
1288,53,13.543
1288,54,18.207
1288,55,5.552
1288,56,7.416
1288,57,18.792
1288,58,1.575
1288,59,3.534
1288,60,20.173
1288,61,10.772
1288,62,2.619
1288,63,21.3
1288,64,19.527
1288,65,18.402
1288,66,20.69
1288,67,21.437
1288,68,7.519
1288,69,18.397
1288,70,4.617
1288,71,23.578
1288,72,12.81
1296,73,12.668
1296,74,0.781
1296,75,4.968
1296,76,23.172
1296,77,8.278
1296,78,6.244
1296,79,1.326
1296,80,2.359
1296,81,6.757
1296,82,6.251
1296,83,3.404
1296,84,22.201
1296,85,-1.353
1296,86,-0.014
1296,87,5.216
1296,88,3.587
1296,89,11.162
1296,90,5.982
1296,91,2.814
1296,92,7.272
1296,93,8.895
1296,94,8.773
1296,95,12.176
1296,96,3.052
1296,97,6.834
1296,98,3.255
1296,99,6.355
1296,100,11.589
1296,101,8.08
1296,102,19.822
1296,103,14.239
1296,104,1.17
1296,105,-1.127
1296,106,10.84
1296,107,6.778
1296,108,9.449
1296,109,5.995
1296,110,4.765
1296,111,14.399
1296,112,6.588
1296,113,11.026
1296,114,7.095
1296,115,12.721
1296,116,5.52
1296,117,7.353
1296,118,7.095
1296,119,9.999
1296,120,10.715
1308,121,13.233
1308,122,13.952
1308,123,13.757
1308,124,13.97
1308,125,23.434
1308,126,9.162
1308,127,23.818
1308,128,15.998
1308,129,16.039
1308,130,24.993
1308,131,15.657
1308,132,16.258
1308,133,10.546
1308,134,17.615
1308,135,21.116
1308,136,6.493
1308,137,2.512
1308,138,22.393
1308,139,21.488
1308,140,22.676
1317,141,12.862
1317,142,8.961
1317,143,4.756
1317,144,21.405
1317,145,20.748
1317,146,18.362
1317,147,14.752
1317,148,11.29
1317,149,10.493
1317,150,10.956
1317,151,21.405
1317,152,23.355
1317,153,12.283
1317,154,9.257
1317,155,11.502
1317,156,20.039
1317,157,21.405
1317,158,23.736
1317,159,11.027
1317,160,17.203
1317,161,10.661
1317,162,7.031
1317,163,13.677
1317,164,13.373
1317,165,10.121
1317,166,10.394
1317,167,6.973
1317,168,11.064
1317,169,11.531
1317,170,8.253
1317,171,7.142
1317,172,3.22
1317,173,15.784
1317,174,17.246
1317,175,9.337
1317,176,15.555
1317,177,8.382
1317,178,11.621
1317,179,4.81
1317,180,17.869
1317,181,8.057
1317,182,11.794
1317,183,18.939
1317,184,20.261
1317,185,10.066
1317,186,20.236
1317,187,4.508
1317,188,18.827
1358,189,-1.347
1358,190,8.054
1358,191,15.655
1358,192,11.648
1358,193,11.629
1358,194,18.687
1358,195,-0.827
1358,196,7.87
1358,197,18.115
1358,198,3.792
1358,199,11.03
1358,200,7.564
1358,201,3.465
1358,202,15.038
1358,203,10.184
1358,204,2.933
1358,205,8.438
1358,206,7.519
1358,207,18.735
1358,208,10.19
1358,209,16.294
1358,210,10.65
1358,211,10.301
1358,212,17.811
1358,213,14.646
1358,214,17.191
1358,215,8.69
1358,216,21.142
1358,217,16.499
1358,218,14.591
1374,219,16.663
1374,220,-2.155
1374,221,0.085
1374,222,18.804
1374,223,2.409
1374,224,16.759
1374,225,18.948
1374,226,10.593
1374,227,15.557
1374,228,23.419
1374,229,0.333
1374,230,-2.002
1374,231,24.041
1374,232,-2.657
1374,233,7.603
1374,234,5.803
1374,235,3.931
1374,236,8.268
1374,237,1.344
1374,238,16.449
1374,239,2.881
1374,240,20.93
1374,241,22.086
1374,242,7.653
1374,243,8.082
1374,244,5.503
1374,245,9.004
1374,246,12.063
1433,247,12.907
1433,248,18.496
1433,249,20.323
1433,250,22.682
1433,251,14.198
1433,252,24.044
1433,253,19.571
1433,254,22.183
1433,255,16.676
1433,256,23.327
1433,257,16.394
1433,258,23.032
1433,259,18.586
1433,260,15.246
1433,261,20.731
1433,262,20.447
1433,263,23.572
1433,264,17.571
1433,265,24.993
1433,266,24.421
1433,267,11.478
1433,268,24.812
1433,269,22.093
1433,270,18.716
1433,271,23.392
1433,272,15.992
1433,273,13.254
1433,274,24.812
1433,275,22.086
1433,276,24.479
1433,277,16.724
1433,278,20.628
1433,279,14.544
1433,280,19.033
1433,281,18.727
1436,282,24.133
1436,283,18.77
1436,284,21.803
1436,285,9.561
1436,286,15.132
1436,287,22.387
1436,288,22.578
1436,289,18.763
1436,290,18.301
1436,291,15.879
1436,292,20.424
1436,293,23.072
1436,294,13.12
1436,295,18.844
1436,296,17.495
1436,297,15.615
1436,298,11.001
1436,299,17.103
1436,300,21.56
1436,301,19.419
1436,302,18.471
1436,303,22.868
1436,304,14.138
1436,305,23.271
1436,306,13.472
1436,307,17.465
1436,308,16.038
1436,309,22.455
1436,310,18.984
1436,311,12.535
1436,312,16.568
1436,313,22.592
1436,314,16.886
1436,315,22.985
