id,ged,postexp,black,hispanic,hgc,hgc.9,uerate,ue.7,ue.centert1,ue.mean,ue.person.cen,ue1,name,value,Dl,De
31,1,0.015,0,1,8,-1,3.215,-3.785,0,3.215,0,3.215,lnw,1.491,1,0
31,1,0.015,0,1,8,-1,3.215,-3.785,0,3.215,0,3.215,exper,0.015,0,1
31,1,0.715,0,1,8,-1,3.215,-3.785,0,3.215,0,3.215,lnw,1.433,1,0
31,1,0.715,0,1,8,-1,3.215,-3.785,0,3.215,0,3.215,exper,0.715,0,1
31,1,1.734,0,1,8,-1,3.215,-3.785,0,3.215,0,3.215,lnw,1.469,1,0
31,1,1.734,0,1,8,-1,3.215,-3.785,0,3.215,0,3.215,exper,1.734,0,1
31,1,2.773,0,1,8,-1,3.295,-3.705,0.08000000000000007,3.215,0.08000000000000007,3.215,lnw,1.749,1,0
31,1,2.773,0,1,8,-1,3.295,-3.705,0.08000000000000007,3.215,0.08000000000000007,3.215,exper,2.773,0,1
31,1,3.927,0,1,8,-1,2.895,-4.105,-0.31999999999999984,3.215,-0.31999999999999984,3.215,lnw,1.931,1,0
31,1,3.927,0,1,8,-1,2.895,-4.105,-0.31999999999999984,3.215,-0.31999999999999984,3.215,exper,3.927,0,1
31,1,4.946,0,1,8,-1,2.495,-4.505,-0.7199999999999998,3.215,-0.7199999999999998,3.215,lnw,1.709,1,0
31,1,4.946,0,1,8,-1,2.495,-4.505,-0.7199999999999998,3.215,-0.7199999999999998,3.215,exper,4.946,0,1
31,1,5.965,0,1,8,-1,2.595,-4.404999999999999,-0.6199999999999997,3.215,-0.6199999999999997,3.215,lnw,2.086,1,0
31,1,5.965,0,1,8,-1,2.595,-4.404999999999999,-0.6199999999999997,3.215,-0.6199999999999997,3.215,exper,5.965,0,1
31,1,6.984,0,1,8,-1,4.795,-2.205,1.58,3.215,1.58,3.215,lnw,2.129,1,0
31,1,6.984,0,1,8,-1,4.795,-2.205,1.58,3.215,1.58,3.215,exper,6.984,0,1
36,1,0.315,0,0,9,0,4.895,-2.1050000000000004,0,5.0965,-0.20150000000000023,4.895,lnw,1.982,1,0
36,1,0.315,0,0,9,0,4.895,-2.1050000000000004,0,5.0965,-0.20150000000000023,4.895,exper,0.315,0,1
36,1,0.983,0,0,9,0,7.4,0.40000000000000036,2.505000000000001,5.0965,2.3035000000000005,4.895,lnw,1.798,1,0
36,1,0.983,0,0,9,0,7.4,0.40000000000000036,2.505000000000001,5.0965,2.3035000000000005,4.895,exper,0.983,0,1
36,1,2.04,0,0,9,0,7.4,0.40000000000000036,2.505000000000001,5.0965,2.3035000000000005,4.895,lnw,2.256,1,0
36,1,2.04,0,0,9,0,7.4,0.40000000000000036,2.505000000000001,5.0965,2.3035000000000005,4.895,exper,2.04,0,1
36,1,3.021,0,0,9,0,5.295,-1.705,0.40000000000000036,5.0965,0.19850000000000012,4.895,lnw,2.573,1,0
36,1,3.021,0,0,9,0,5.295,-1.705,0.40000000000000036,5.0965,0.19850000000000012,4.895,exper,3.021,0,1
36,1,4.021,0,0,9,0,4.495,-2.505,-0.39999999999999947,5.0965,-0.6014999999999997,4.895,lnw,1.819,1,0
36,1,4.021,0,0,9,0,4.495,-2.505,-0.39999999999999947,5.0965,-0.6014999999999997,4.895,exper,4.021,0,1
36,1,5.521,0,0,9,0,2.895,-4.105,-1.9999999999999996,5.0965,-2.2015,4.895,lnw,2.928,1,0
36,1,5.521,0,0,9,0,2.895,-4.105,-1.9999999999999996,5.0965,-2.2015,4.895,exper,5.521,0,1
36,1,6.733,0,0,9,0,2.595,-4.404999999999999,-2.2999999999999994,5.0965,-2.5014999999999996,4.895,lnw,2.443,1,0
36,1,6.733,0,0,9,0,2.595,-4.404999999999999,-2.2999999999999994,5.0965,-2.5014999999999996,4.895,exper,6.733,0,1
36,1,7.906,0,0,9,0,2.595,-4.404999999999999,-2.2999999999999994,5.0965,-2.5014999999999996,4.895,lnw,2.825,1,0
36,1,7.906,0,0,9,0,2.595,-4.404999999999999,-2.2999999999999994,5.0965,-2.5014999999999996,4.895,exper,7.906,0,1
36,1,8.848,0,0,9,0,5.795,-1.205,0.9000000000000004,5.0965,0.6985000000000001,4.895,lnw,2.303,1,0
36,1,8.848,0,0,9,0,5.795,-1.205,0.9000000000000004,5.0965,0.6985000000000001,4.895,exper,8.848,0,1
36,1,9.598,0,0,9,0,7.6,0.5999999999999996,2.705,5.0965,2.5035,4.895,lnw,2.329,1,0
36,1,9.598,0,0,9,0,7.6,0.5999999999999996,2.705,5.0965,2.5035,4.895,exper,9.598,0,1
53,0,0,0,1,7,-2,5.595,-1.4050000000000002,0,4.4325,1.1624999999999996,5.595,lnw,1.763,1,0
53,0,0,0,1,7,-2,5.595,-1.4050000000000002,0,4.4325,1.1624999999999996,5.595,exper,0.781,0,1
53,0,0,0,1,7,-2,6.695,-0.3049999999999997,1.1000000000000005,4.4325,2.2625,5.595,lnw,1.538,1,0
53,0,0,0,1,7,-2,6.695,-0.3049999999999997,1.1000000000000005,4.4325,2.2625,5.595,exper,0.943,0,1
53,1,0,0,1,7,-2,4.895,-2.1050000000000004,-0.7000000000000002,4.4325,0.46249999999999947,5.595,lnw,3.242,1,0
53,1,0,0,1,7,-2,4.895,-2.1050000000000004,-0.7000000000000002,4.4325,0.46249999999999947,5.595,exper,0.957,0,1
53,1,0.08,0,1,7,-2,4.995,-2.005,-0.5999999999999996,4.4325,0.5625,5.595,lnw,1.596,1,0
53,1,0.08,0,1,7,-2,4.995,-2.005,-0.5999999999999996,4.4325,0.5625,5.595,exper,1.037,0,1
53,1,0.1,0,1,7,-2,3.795,-3.205,-1.7999999999999998,4.4325,-0.6375000000000002,5.595,lnw,1.566,1,0
53,1,0.1,0,1,7,-2,3.795,-3.205,-1.7999999999999998,4.4325,-0.6375000000000002,5.595,exper,1.057,0,1
53,1,0.152,0,1,7,-2,3.495,-3.505,-2.0999999999999996,4.4325,-0.9375,5.595,lnw,1.882,1,0
